"__GENUS","__CLASS","__SUPERCLASS","__DYNASTY","__RELPATH","__PROPERTY_COUNT","__DERIVATION","__SERVER","__NAMESPACE","__PATH","Category","CategoryString","ComputerName","Data","EventCode","EventIdentifier","EventType","InsertionStrings","Logfile","Message","RecordNumber","SourceName","TimeGenerated","TimeWritten","Type","User","Scope","Path","Options","ClassPath","Properties","SystemProperties","Qualifiers","Site","Container"
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=524",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=524",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,524,Microsoft-Windows-WindowsUpdateClient,20190530160704.992428-000,20190530160704.992428-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=524",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=523",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=523",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,523,Microsoft-Windows-WindowsUpdateClient,20190530160704.992426-000,20190530160704.992426-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=523",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=522",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=522",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,522,Microsoft-Windows-WindowsUpdateClient,20190530160700.554723-000,20190530160700.554723-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=522",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=521",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=521",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,521,Microsoft-Windows-WindowsUpdateClient,20190530160700.554720-000,20190530160700.554720-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=521",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=520",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=520",0,,DESKTOP-PA164GP,,16,16,3,System.String[],System,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.,520,Microsoft-Windows-Kernel-General,20190530160700.479056-000,20190530160700.479056-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=520",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=519",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=519",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,519,Microsoft-Windows-WindowsUpdateClient,20190530160657.743200-000,20190530160657.743200-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=519",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=518",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=518",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,518,Microsoft-Windows-WindowsUpdateClient,20190530160657.743198-000,20190530160657.743198-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=518",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=517",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=517",0,,DESKTOP-PA164GP,,16,16,3,System.String[],System,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x86__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.,517,Microsoft-Windows-Kernel-General,20190530160651.695839-000,20190530160651.695839-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=517",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=516",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=516",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,516,Microsoft-Windows-WindowsUpdateClient,20190530160649.393006-000,20190530160649.393006-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=516",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
2,Win32_NTLogEvent,,Win32_NTLogEvent,"Win32_NTLogEvent.Logfile=""System"",RecordNumber=515",16,System.String[],DESKTOP-PA164GP,root\cimv2,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=515",1,Агент Windows Update,DESKTOP-PA164GP,,44,44,3,System.String[],System,Windows Update: запущено завантаження оновлення.,515,Microsoft-Windows-WindowsUpdateClient,20190530160649.393005-000,20190530160649.393005-000,Information,NT AUTHORITY\SYSTEM,System.Management.ManagementScope,"\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent.Logfile=""System"",RecordNumber=515",System.Management.ObjectGetOptions,\\DESKTOP-PA164GP\root\cimv2:Win32_NTLogEvent,System.Management.PropertyDataCollection,System.Management.PropertyDataCollection,System.Management.QualifierDataCollection,,
