"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,DisableDeleteNotification,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,FilterSupportedFeaturesMode,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,LongPathsEnabled,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsAllowExtendedCharacter8dot3Rename,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsBugcheckOnCorrupt,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsDisable8dot3NameCreation,DWord,"00000002"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsDisableCompression,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsDisableEncryption,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsDisableLfsDowngrade,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsDisableVolsnapHints,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsEncryptPagingFile,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsMemoryUsage,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsMftZoneReservation,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsQuotaNotifyRate,DWord,"00000E10"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,RefsDisableLastAccessUpdate,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,ScrubMode,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,SymlinkLocalToLocalEvaluation,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,SymlinkLocalToRemoteEvaluation,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,SymlinkRemoteToLocalEvaluation,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,SymlinkRemoteToRemoteEvaluation,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,UdfsCloseSessionOnEject,DWord,"00000003"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,UdfsSoftwareDefectManagement,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,Win31FileSystem,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,Win95TruncatedExtensions,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\FileSystem,NtfsDisableLastAccessUpdate,DWord,"80000003"
