"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\AutoEnrollment\DisallowedSCEPAlgorithms,Microsoft Passport Key Storage Provider,MultiString,sha512
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Calais\Cache,,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Calais\SmartCards\Identity Device (Microsoft Generic Profile),80000001,String,C:\Windows\SysWOW64\msclmd.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Calais\SmartCards\Identity Device (Microsoft Generic Profile),Crypto Provider,String,Microsoft Base Smart Card Crypto Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Calais\SmartCards\Identity Device (Microsoft Generic Profile),Smart Card Key Storage Provider,String,Microsoft Smart Card Key Storage Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Calais\SmartCards\Identity Device (NIST SP 800-73 [PIV]),80000001,String,C:\Windows\SysWOW64\msclmd.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Calais\SmartCards\Identity Device (NIST SP 800-73 [PIV]),Crypto Provider,String,Microsoft Base Smart Card Crypto Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Calais\SmartCards\Identity Device (NIST SP 800-73 [PIV]),Smart Card Key Storage Provider,String,Microsoft Smart Card Key Storage Provider
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base Cryptographic Provider v1.0,Image Path,String,%SystemRoot%\system32\rsaenh.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base Cryptographic Provider v1.0,SigInFile,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base Cryptographic Provider v1.0,Type,DWord,"00000001"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base DSS and Diffie-Hellman Cryptographic Provider,Image Path,String,%SystemRoot%\system32\dssenh.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base DSS and Diffie-Hellman Cryptographic Provider,SigInFile,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base DSS and Diffie-Hellman Cryptographic Provider,Type,DWord,"0000000D"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base DSS Cryptographic Provider,Image Path,String,%SystemRoot%\system32\dssenh.dll
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base DSS Cryptographic Provider,SigInFile,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base DSS Cryptographic Provider,Type,DWord,"00000003"
HiveKeyLocalMachine,Software\Microsoft\Cryptography\Defaults\Provider\Microsoft Base Smart Card Crypto Provider,Image Path,String,C:\Windows\SysWOW64\basecsp.dll
