"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,DefaultDomainName,String,
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,DefaultUserName,String,
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,EnableSIHostIntegration,DWord,"00000001"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,PreCreateKnownFolders,String,{A520A1A4-1780-4FF6-BD18-167343C5AF16}
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,Shell,String,explorer.exe
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,ShellCritical,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,SiHostCritical,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,SiHostReadyTimeOut,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,SiHostRestartCountLimit,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon,SiHostRestartTimeGap,DWord,"00000000"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{0ACDD40C-75AC-47ab-BAA0-BF6DE7E7FE63},,String,Wireless Group Policy
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{0ACDD40C-75AC-47ab-BAA0-BF6DE7E7FE63},DisplayName,ExpandString,"@wlgpclnt.dll,-100"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{0ACDD40C-75AC-47ab-BAA0-BF6DE7E7FE63},DllName,ExpandString,wlgpclnt.dll
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{0ACDD40C-75AC-47ab-BAA0-BF6DE7E7FE63},GenerateGroupPolicy,String,GenerateWLANPolicy
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{0ACDD40C-75AC-47ab-BAA0-BF6DE7E7FE63},NoGPOListChanges,DWord,"00000001"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{0ACDD40C-75AC-47ab-BAA0-BF6DE7E7FE63},NoUserPolicy,DWord,"00000001"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{0ACDD40C-75AC-47ab-BAA0-BF6DE7E7FE63},ProcessGroupPolicyEx,String,ProcessWLANPolicyEx
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{25537BA6-77A8-11D2-9B6C-0000F8080861},,String,Folder Redirection
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{25537BA6-77A8-11D2-9B6C-0000F8080861},DisplayName,ExpandString,"@fdeploy.dll,-261"
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{25537BA6-77A8-11D2-9B6C-0000F8080861},DllName,ExpandString,fdeploy.dll
HiveKeyLocalMachine,Software\Microsoft\Windows NT\CurrentVersion\Winlogon\GPExtensions\{25537BA6-77A8-11D2-9B6C-0000F8080861},EventSources,MultiString,"(Folder Redirection,Application)"
