"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,AllowRemoteRPC,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,DelayConMgrTimeout,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,DeleteTempDirsOnExit,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,fDenyTSConnections,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,fSingleSessionPerUser,DWord,"00000001"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,NotificationTimeOut,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,PerSessionTempDir,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,ProductVersion,String,5.1
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,RCDependentServices,MultiString,"CertPropSvc,SessionEnv"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,SnapshotMonitors,String,1
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,StartRCM,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,TSUserEnabled,DWord,"00000000"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,InstanceID,String,4dc88eb1-27ed-404b-82db-4489a05
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server,GlassSessionId,DWord,"00000002"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\AddIns\Clip Redirector,Name,String,RDPClip
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\AddIns\Clip Redirector,Type,DWord,"00000003"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\AddIns\DND Redirector,Name,String,RDPDND
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\AddIns\DND Redirector,Type,DWord,"00000003"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\AddIns\Dynamic VC,Type,DWord,"FFFFFFFF"
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\0f0a4bf8-8362-435d-938c-222a518a8b78,CLSID,String,2be8bdbb-be09-499d-9a4b-4637e09ae00b
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\0f0a4bf8-8362-435d-938c-222a518a8b78,Description,String,Default Connection Handler
HiveKeyLocalMachine,System\CurrentControlSet\Control\Terminal Server\ConnectionHandler\0f0a4bf8-8362-435d-938c-222a518a8b78,fAcceptConnection,DWord,"00000001"
