"RegistryPath","Path","Name","Kind","Value"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,Build,String,917134
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,IntegratedBrowser,DWord,"00000001"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,MkEnabled,String,Yes
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,svcKBFWLink,String,https://aka.ms/IECU1905B
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,svcKBNumber,String,KB4498206
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,svcUpdateVersion,String,11.0.125
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,svcVersion,String,11.765.17134.0
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,Version,String,9.11.17134.0
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer,W2kVersion,String,9.11.17134.0
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,blank,String,res://mshtml.dll/blank.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,DesktopItemNavigationFailure,String,res://ieframe.dll/navcancl.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,Home,DWord,"0000010E"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,InPrivate,String,res://ieframe.dll/inprivate.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,NavigationCanceled,String,res://ieframe.dll/navcancl.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,NavigationFailure,String,res://ieframe.dll/navcancl.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,NoAdd-ons,String,res://ieframe.dll/noaddon.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,NoAdd-onsInfo,String,res://ieframe.dll/noaddoninfo.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,PostNotCached,String,res://ieframe.dll/repost.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\AboutURLs,SecurityRisk,String,res://ieframe.dll/securityatrisk.htm
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility,Version,String,6.17
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\074FF50D0FBF0CCEC37F65E137C91EE48442FE4C,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\112DBD99BB88B1ADC7241D45E67F03F0096122B5,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\1629BFB58E16192F41A50816D8448C301989E007,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\1E22E3489D45F5D0436B91CD0D7A9D6C718392F2,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\211A51007D3B2D592246F633CA522869010A3180,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\2260E52C41EDD4EE1DBA0B1051B9AE675947F956,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\392495FF02597715601FD2C4AE18D00261A01C62,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\487B786451026BAEFD474B8758C058D538EC35CB,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\507010021A6700C5C5AA4DA51EF0FA2EA6FDBEF4,Policy,DWord,"FFFFFFFF"
HiveKeyLocalMachine,Software\Microsoft\Internet Explorer\ActiveX Compatibility\Restriction Policies\Hashes\5F3EF8894394826345EB838C8C72F3A40B521893,Policy,DWord,"FFFFFFFF"
